Category,Location,Keyword,Name,URL
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Pho Quynh,https://www.google.com/maps/place/Pho+Quynh/data=!4m7!3m6!1s0x31752f17d6af4ef1:0xd259ec5b0741bc80!8m2!3d10.7674471!4d106.690655!16s%2Fg%2F11b7q0b3f3!19sChIJ8U6v1hcvdTERgLxBB1vsWdI?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Pho Ngoc,https://www.google.com/maps/place/Pho+Ngoc/data=!4m7!3m6!1s0x31752f113e8499b1:0x22774c9b031480f!8m2!3d10.7608781!4d106.6931794!16s%2Fg%2F11c1x8bk7r!19sChIJsZmEPhEvdTERD0gxsMl0JwI?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Hiền 1985- Trần Quang Khải,https://www.google.com/maps/place/Ph%E1%BB%9F+Hi%E1%BB%81n+1985-+Tr%E1%BA%A7n+Quang+Kh%E1%BA%A3i/data=!4m7!3m6!1s0x317528cc7c0f91b3:0x462718de3a7eb740!8m2!3d10.7927471!4d106.6935179!16s%2Fg%2F1tp05lj0!19sChIJs5EPfMwodTERQLd-Ot4YJ0Y?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",PHỞ HÀ,https://www.google.com/maps/place/PH%E1%BB%9E+H%C3%80/data=!4m7!3m6!1s0x31752f38e1a83783:0x82c55a5f55ef168f!8m2!3d10.7719579!4d106.7052226!16s%2Fg%2F1tk1wk1f!19sChIJgzeo4TgvdTERjxbvVV9axYI?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",PHỞ SOL - Q1 (Phở & Các Món Ngon Từ Phở),https://www.google.com/maps/place/PH%E1%BB%9E+SOL+-+Q1+%28Ph%E1%BB%9F+%26+C%C3%A1c+M%C3%B3n+Ngon+T%E1%BB%AB+Ph%E1%BB%9F%29/data=!4m7!3m6!1s0x31752fcd3af52e1f:0x16bda41d2ba47104!8m2!3d10.7717123!4d106.7050306!16s%2Fg%2F11s3gsch3j!19sChIJHy71Os0vdTERBHGkKx2kvRY?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở bò viên thập cẩm,https://www.google.com/maps/place/Ph%E1%BB%9F+b%C3%B2+vi%C3%AAn+th%E1%BA%ADp+c%E1%BA%A9m/data=!4m7!3m6!1s0x31752f407d4319df:0x64e44d2db9f07730!8m2!3d10.7703122!4d106.7010063!16s%2Fg%2F11fz9y1rvn!19sChIJ3xlDfUAvdTERMHfwuS1N5GQ?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",PHỞ THÌN QUẬN 1 (Phở Thìn 13 Lò Đúc)| Phở ngon Sài Gòn,https://www.google.com/maps/place/PH%E1%BB%9E+TH%C3%8CN+QU%E1%BA%ACN+1+%28Ph%E1%BB%9F+Th%C3%ACn+13+L%C3%B2+%C4%90%C3%BAc%29%7C+Ph%E1%BB%9F+ngon+S%C3%A0i+G%C3%B2n/data=!4m7!3m6!1s0x31752f77874f6e07:0xc330879c8a05a03f!8m2!3d10.7681788!4d106.6970277!16s%2Fg%2F11tx_tx1z7!19sChIJB25Ph3cvdTERP6AFipyHMMM?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Hằng,https://www.google.com/maps/place/Ph%E1%BB%9F+H%E1%BA%B1ng/data=!4m7!3m6!1s0x31752f004918983b:0xbe01ca100a54a1b4!8m2!3d10.7694102!4d106.689254!16s%2Fg%2F11w2vxytxf!19sChIJO5gYSQAvdTERtKFUChDKAb4?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Hiền,https://www.google.com/maps/place/Ph%E1%BB%9F+Hi%E1%BB%81n/data=!4m7!3m6!1s0x3175293bef25807f:0x463a84c22a65f30a!8m2!3d10.794475!4d106.6910249!16s%2Fg%2F11qztk431p!19sChIJf4Al7zspdTERCvNlKsKEOkY?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở gia truyền Nam Định,https://www.google.com/maps/place/Ph%E1%BB%9F+gia+truy%E1%BB%81n+Nam+%C4%90%E1%BB%8Bnh/data=!4m7!3m6!1s0x31752f817b0d26c3:0xf5181c6288159f69!8m2!3d10.7636698!4d106.6890646!16s%2Fg%2F11j2xn07s8!19sChIJwyYNe4EvdTERaZ8ViGIcGPU?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Quan Pho Con Bo Vang,https://www.google.com/maps/place/Quan+Pho+Con+Bo+Vang/data=!4m7!3m6!1s0x31752f0068d8a849:0xff72644072c5beb5!8m2!3d10.7649736!4d106.6951665!16s%2Fg%2F11vwrhlpwh!19sChIJSajYaAAvdTERtb7FckBkcv8?authuser=0&hl=en&rclk=1
